timestamp,event_type,person_id,gender,age
2026-04-01T14:40:50.772364,entry,1,Male,(4-6)
2026-04-01T14:40:55.289058,exit,38,Male,(8-12)
2026-04-01T14:41:09.330953,exit,21,Female,(8-12)
2026-04-01T14:41:14.429711,exit,42,Male,(15-20)
2026-04-01T14:43:16.729225,entry,50,Female,(4-6)
2026-04-01T16:04:01.019272,exit,1,Male,(4-6)
2026-04-01T16:05:36.606993,entry,2,Female,(25-32)
2026-04-01T16:05:39.136239,exit,3,Female,(48-53)
2026-04-01T16:08:12.594177,entry,4,Female,(25-32)
2026-04-01T16:08:16.788548,entry,9,Male,(25-32)
2026-04-01T16:08:28.096931,exit,14,Male,(60-100)
2026-04-01T16:08:29.099325,exit,17,Male,(25-32)
2026-04-01T16:08:33.479232,exit,20,Male,(25-32)
2026-04-01T16:11:10.936277,entry,22,Male,(15-20)
2026-04-01T16:13:21.602509,exit,1,Female,(25-32)
2026-04-01T16:16:24.585518,entry,5,Female,(8-12)
2026-04-01T16:16:31.234277,entry,7,Female,(48-53)
2026-04-01T16:16:33.406539,exit,9,Female,(25-32)
2026-04-01T16:16:34.785558,entry,10,Male,(8-12)
2026-04-01T16:17:08.941208,exit,12,Female,(4-6)
2026-04-01T16:17:37.268995,entry,13,Male,(4-6)
2026-04-01T16:19:01.365490,exit,1,Male,(4-6)
2026-04-01T16:19:14.937607,entry,2,Female,(4-6)
